,ID,Date,Time,Qtr,Special Day,Online Sale Offers,Day of week,Gender,Customer ID,Product-Name,Item-Status,Quantity,Item Price,Shipping-Price,Ship-City,Ship-State,Ship-Postal-Code,Category,Total,Author,Publication,Profit %,Profit (INR),Cost Price
19,20,2018-01-08,13:09:00,1,0,0,1,M,B07FWWWZU,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,640.0,85.0,Bengaluru,Karnataka,560074,Competition ,725.0,Team Of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
20,21,2018-01-08,15:02:00,1,0,0,1,M,B07FWVVTW,A Text Book of Optics,Shipped,1,565.0,85.0,Bengaluru,Karnataka,560087,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
21,22,2018-01-08,19:04:00,1,0,0,1,F,B07FWYWQV,ESE 2020 Mains Examination: Civil Engineering - Conventional Solved Papers - Paper - 1,Shipped,1,690.0,85.0,Nashik,Maharashtra,422013,Competition ,775.0,Made Easy,Made Easy Publications,17,117.3,572.7
22,23,2018-01-09,04:00:00,1,0,0,2,M,B07FWXVXV,Database System Concepts (Int'l Ed),Shipped,1,999.0,85.0,Bengaluru,Karnataka,560071,College,1084.0,Avi Silberschatz,Mcgraw-Hill,13,129.87,869.13
23,24,2018-01-09,09:08:00,1,0,0,2,F,B07FWWUVR,Uchchatar Aarthik Siddhanth,Shipped,1,485.0,85.0,New Delhi,Delhi,110039,College,570.0,H. L. Ahuja,S. Chand Publishing,13,63.05,421.95
24,25,2018-01-09,11:30:00,1,0,0,2,F,B07FWXUQW,"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)",Shipped,1,1480.0,85.0,Erode,Tamil Nadu,638011,College,1565.0,B D Chaurasia,Cbs Publishers &Distributors,13,192.4,1287.6
25,26,2018-01-09,11:49:00,1,0,0,2,F,B07FWXSXX,"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)",Shipped,1,1480.0,85.0,Tiruchirappalli,Tamil Nadu,620012,College,1565.0,B D Chaurasia,Cbs Publishers &Distributors,13,192.4,1287.6
26,27,2018-01-09,12:45:00,1,0,0,2,M,B07FWWTSR,English Grammar for Today: A New Introduction,Shipped,1,959.0,85.0,Mumbai,Maharashtra,401101,School,1044.0,Geoffrey Leech,Palgrave Macmillan,18,172.62,786.38
27,28,2018-01-10,08:06:00,1,0,0,3,M,B07FWWWVX,Chronicle Year Book 2020 (English),Shipped,1,260.0,85.0,Jorhat,Assam,785001,Competition ,345.0,Nn Ojha,Chronicle Publications Pvt Ltd,17,44.2,215.8
28,29,2018-01-10,09:37:00,1,0,0,3,M,B07FWVVTS,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Gurgaon,Haryana,122015,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
29,30,2018-01-10,10:20:00,1,0,0,3,M,B07FWXWYU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Salem,Tamil Nadu,636306,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
30,31,2018-01-11,06:10:00,1,0,0,4,F,B07FWYTVQ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,Shipped,1,200.0,85.0,Ernakulam,Kerala,682015,Competition ,285.0, Amit M Agarwal, Arihant  (Publication),17,34.0,166.0
31,32,2018-01-11,07:19:00,1,0,0,4,F,B07FWVWYU,Database Systems Concepts,Shipped,1,910.0,85.0,Hanumangarh,Rajasthan,335512,College,995.0,S. Sudarshan,Mcgraw-Hill,13,118.3,791.7
32,33,2018-01-11,18:23:00,1,0,0,4,M,B07FWYYST,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Bilaspur,Chhattisgarh,495001,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
33,34,2018-01-12,02:39:00,1,0,0,5,F,B07FWWBVW,Public Finance,Shipped,1,465.0,85.0,Secunderabad,Telangana,500100,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
34,35,2018-01-12,04:30:00,1,0,0,5,F,B07FWWTSZ,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Paratappur,Chhattisgarh,497223,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
35,36,2018-01-12,05:26:00,1,0,0,5,F,B07FWWTWR,Database System Concepts (Int'l Ed),Shipped,1,999.0,85.0,Kotdwara,Uttarakhand,246149,College,1084.0,Avi Silberschatz,Mcgraw-Hill,13,129.87,869.13
36,37,2018-01-12,05:56:00,1,0,0,5,F,B07FWVYWZ,English Grammar for Today: A New Introduction,Shipped,1,959.0,85.0,Navi Mumbai,Maharashtra,400706,School,1044.0,Geoffrey Leech,Palgrave Macmillan,18,172.62,786.38
37,38,2018-01-12,07:09:00,1,0,0,5,F,B07FWWBQX,Political Theory,Shipped,1,425.0,85.0,Greater Noida,Uttar Pradesh,201306,College,510.0,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
38,39,2018-01-12,07:50:00,1,0,0,5,F,B07FWXYZS,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),Shipped,1,645.0,85.0,Mumbai,Maharashtra,400005,College,730.0,Dr.H.L.Ahuja,S.Chand (G/L) & Company Ltd,13,83.85,561.15
39,40,2018-01-12,07:57:00,1,0,0,5,F,B07FWVBUV,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Khammam,Telangana,507002,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
40,41,2018-01-12,07:57:00,1,0,0,5,F,B07FWYUWS,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,Shipped,1,615.0,85.0,Khammam,Telangana,507002,Competition ,700.0,Made Easy Editorial Board,Made Easy Publication,17,104.55,510.45
41,42,2018-01-12,09:45:00,1,0,0,5,M,B07FWYVTY,Public Finance,Shipped,1,465.0,85.0,Dehradun,Uttarakhand,248001,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
42,43,2018-01-13,03:23:00,1,0,0,6,F,B07FWXWXW,Political Theory,Shipped,1,425.0,85.0,Hyderabad,Telangana,500039,College,510.0,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
43,44,2018-01-13,05:29:00,1,0,0,6,F,B07FWWWZV,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,768.0,85.0,Kottayam,Kerala,686544,Competition ,853.0,Arihant Expert,Arihant Publications,17,130.56,637.44
44,45,2018-01-13,10:50:00,1,0,0,6,M,B07FWXYTR,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,640.0,85.0,Amravati,Maharashtra,444607,Competition ,725.0,Team Of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
45,46,2018-01-14,11:05:00,1,0,0,7,F,B07FWXBXU,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry,Shipped,1,175.0,85.0,Nagpur,Maharashtra,440001,Competition ,260.0, Ranjeet Shahi ,Arihant Publications,17,29.75,145.25
46,47,2018-01-14,13:38:00,1,0,0,7,M,B07FWXYVT,English Grammar for Today: A New Introduction,Shipped,1,959.0,85.0,Pali,Rajasthan,306502,School,1044.0,Geoffrey Leech,Palgrave Macmillan,18,172.62,786.38
47,48,2018-01-15,01:57:00,1,0,0,1,M,B07FWYBZQ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry,Shipped,1,175.0,85.0,Tiruppur,Tamil Nadu,641603,Competition ,260.0, Ranjeet Shahi ,Arihant Publications,17,29.75,145.25
48,49,2018-01-15,03:15:00,1,0,0,1,F,B07FWYTZV,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Udham Singh Nagar,Uttarakhand,263153,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
49,50,2018-01-15,03:40:00,1,0,0,1,M,B07FWXYYR,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,768.0,85.0,Coimbatore,Tamil Nadu,641041,Competition ,853.0,Arihant Expert,Arihant Publications,17,130.56,637.44
50,51,2018-01-15,03:59:00,1,0,0,1,F,B07FWXVVT,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,768.0,85.0,Virar West,Maharashtra,401303,Competition ,853.0,Arihant Expert,Arihant Publications,17,130.56,637.44
51,52,2018-01-15,04:33:00,1,0,0,1,M,B07FWWBRT,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,768.0,85.0,Kota,Rajasthan,324005,Competition ,853.0,Arihant Expert,Arihant Publications,17,130.56,637.44
52,53,2018-01-15,04:48:00,1,0,0,1,F,B07FWWSZU,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Bhilai,Chhattisgarh,490011,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
53,54,2018-01-15,05:39:00,1,0,0,1,M,B07FWXYYW,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Kadapa,Andhra Pradesh,516001,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
54,55,2018-01-15,10:54:00,1,0,0,1,M,B07FWWWQW,Public Finance,Shipped,1,465.0,85.0,Kishangarh,Rajasthan,305801,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
55,56,2018-01-15,11:18:00,1,0,0,1,M,B07FWWAXS,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Bilaspur,Chattisgarh,495001,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
56,57,2018-01-15,13:57:00,1,0,0,1,M,B07FWYTUW,Political Theory,Shipped,1,425.0,85.0,Jorhat,Assam,785001,College,510.0,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
57,58,2018-01-15,14:36:00,1,0,0,1,M,B07FWYYYR,COMPREHENSIVE TEXTBOOK OF MEDICAL PHYSIOLOGY (2VOLS),Shipped,1,1250.0,85.0,New Delhi,Delhi,110062,College,1335.0,G K Pal,Jaypee Brothers,13,162.5,1087.5
58,59,2018-01-15,15:47:00,1,0,0,1,M,B07FWWAZW,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Navi Mumbai,Maharashtra,400709,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
59,60,2018-01-15,17:46:00,1,0,0,1,F,B07FWXXVY,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Mumbai,Maharashtra,400076,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
60,61,2018-01-16,13:54:00,1,0,0,2,M,B07FWYVTV,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Jorhat,Assam,785001,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
61,62,2018-01-17,04:18:00,1,0,0,3,F,B07FWYBZU,Public Finance,Shipped,1,465.0,85.0,Motihari,Bihar,845401,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
62,63,2018-01-17,08:25:00,1,0,0,3,M,B07FWWSXY,Public Finance,Shipped,1,465.0,85.0,Binola Industrial Area,Haryana,122413,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
63,64,2018-01-17,11:53:00,1,0,0,3,F,B07FWYYWW,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Narsinghpur,Madhya Pradesh,487770,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
64,65,2018-01-17,15:44:00,1,0,0,3,M,B07FWXAZU,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Bagru,Rajasthan,303007,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
65,66,2018-01-17,18:52:00,1,0,0,3,M,B07FWWTTS,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Balotra,Rajasthan,344022,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
66,67,2018-01-18,10:08:00,1,0,0,4,M,B07FWWYZZ,39 Years' Chapterwise Topicwise Solved Papers IIT JEE MAIN (2020-1979) Combo Pack 3 Books Sets (Mathematics Chemistry Physics),Shipped,1,680.0,85.0,Pune,Maharashtra,411011,Competition ,765.0,Arihant Expert,Arihant Publications,17,115.6,564.4
67,68,2018-01-18,20:08:00,1,0,0,4,M,B07FWVXYS,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,New Delhi,Delhi,110009,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
68,69,2018-01-19,20:08:00,1,0,0,5,M,B07FWWTTS,Ordinary and Partial Differential Equations,Shipped,1,899.0,85.0,Balotra,Rajasthan,344022,College,984.0, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
69,70,2018-01-20,05:10:00,1,0,0,6,F,B07FWYAZW,Surveying - Vol. 2,Shipped,1,494.0,85.0,Pauri,Uttarakhand,246001,College,579.0,Duggal ,Mcgraw Hill Education,13,64.22,429.78
70,71,2018-01-20,09:18:00,1,0,0,6,M,B07FWWYTX,A Text Book of Optics,Shipped,1,565.0,85.0,Silchar,Assam,788007,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
71,72,2018-01-20,13:13:00,1,0,0,6,F,B07FWWZUT,Shigley's Mechanical Engineering Design - SIE,Shipped,1,757.0,85.0,Kharagpur,West Bengal,721302,College,842.0,Richard G Budynas; J Keith Nisbett ,Mcgraw Hill Education,13,98.41,658.59
72,73,2018-01-20,15:17:00,1,0,0,6,F,B07FWVWUR,"Microwave Devices and Circuits, 3e",Shipped,1,308.0,85.0,Burla,Odisha,768018,College,393.0,Liao Yiwu ,Pearson Education India,13,40.04,267.96
73,74,2018-01-21,02:35:00,1,0,0,7,M,B07FWYVSS,Shigley's Mechanical Engineering Design - SIE,Shipped,1,757.0,85.0,Nagpur,Maharashtra,440010,College,842.0,Richard G Budynas; J Keith Nisbett ,Mcgraw Hill Education,13,98.41,658.59
74,75,2018-01-21,16:01:00,1,0,0,7,M,B07FWXSRX,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,768.0,85.0,Jamnagar,Gujarat,361008,Competition ,853.0,Arihant Expert,Arihant Publications,17,130.56,637.44
75,76,2018-01-21,16:47:00,1,0,0,7,F,B07FWYWVV,ESE 2018 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,640.0,85.0,Chennai,Tamil Nadu,600094,Competition ,725.0,Team Of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
76,77,2018-01-22,06:42:00,1,0,0,1,M,B07FWXYRV,ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,450.0,85.0,Bengaluru,Karnataka,560045,Competition ,535.0,Made Easy Editorial Board,Made Easy Publications,17,76.5,373.5
77,78,2018-01-22,07:43:00,1,0,0,1,M,B07FWWTZX,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Mumbai,Maharashtra,400053,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
78,79,2018-01-22,08:11:00,1,0,0,1,F,B07FWWVWY,A Text Book of Optics,Shipped,1,565.0,85.0,New Delhi,Delhi,110016,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
79,80,2018-01-22,09:36:00,1,0,0,1,F,B07FWXTVZ,A Text Book of Optics,Shipped,1,565.0,85.0,Chinnalapatti,Tamil Nadu,624302,College,650.0,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
80,81,2018-01-22,10:13:00,1,0,0,1,F,B07FWXSZV,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Thiruvananthapuram,Kerala,695001,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
81,82,2018-01-22,11:11:00,1,0,0,1,F,B07FWWYWV,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Bengaluru,Karnataka,560058,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
82,83,2018-01-22,16:17:00,1,0,0,1,M,B07FWYTUR,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Udaipur,Rajasthan,313001,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
83,84,2018-01-22,17:10:00,1,0,0,1,M,B07FWVVYW,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Noida,Uttar Pradesh,201303,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
84,85,2018-01-23,03:21:00,1,0,0,2,F,B07FWXUQY,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Pondicherry,Pondicherry,605008,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
85,86,2018-01-23,09:25:00,1,0,0,2,M,B07FWYWVR,Public Finance,Shipped,1,465.0,85.0,Motihari,Bihar,845401,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
86,87,2018-01-23,23:56:00,1,0,0,2,M,B07FWVXWR,Lakshya - Rajasthan Police Sub - Inspector Exam Book Part - I,Shipped,1,499.0,85.0,Pune,Maharashtra,412408,Competition ,584.0,Kanti Jainmahiveer Jainanshul Jain,Menu Publication,17,84.83,414.17
87,88,2018-01-24,09:01:00,1,0,0,3,M,B07FWVYTY,"NEET Prep Guide 2019(With free bookletrevision points Physics,Chemistry,Biology)",Shipped,1,899.0,85.0,Jehanabad,Bihar,804408,Competition ,984.0,Arihant Expert,Arihant Publications,17,152.83,746.17
88,89,2018-01-24,15:54:00,1,0,0,3,M,B07FWWSRT,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,"Thane, Mira Road",Maharashtra,401107,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
89,90,2018-01-24,16:41:00,1,0,0,3,F,B07FWXUXW,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Palakkad,Kerala,678683,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
90,91,2018-01-24,17:33:00,1,0,0,3,F,B07FWXSUY,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Rajkot,Gujarat,360001,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
91,92,2018-01-24,18:37:00,1,0,0,3,F,B07FWWBUR,Cracking the CSAT Paper-2,Shipped,1,595.0,85.0,Bengaluru,Karnataka,560032,Competition ,680.0,Arihant Expert,Arihant Publications,17,101.15,493.85
92,93,2018-01-25,02:48:00,1,0,0,4,F,B07FWVVUU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Chandigarh,Chandigarh,160036,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
93,94,2018-01-25,03:02:00,1,0,0,4,M,B07FWWXTT,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Kolkata,West Bengal,700102,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
94,95,2018-01-25,09:29:00,1,0,0,4,F,B07FWVXUY,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,610.0,85.0,Kota,Rajasthan,324003,Competition ,695.0,T K V Iyengar,Zone Tech Publications ,17,103.7,506.3
95,96,2018-01-25,09:29:00,1,0,0,4,F,B07FWWYQZ,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,Shipped,1,615.0,85.0,Kota,Chhattisgarh,495113,Competition ,700.0,Made Easy Editorial Board,Made Easy Publication,17,104.55,510.45
96,97,2018-01-25,10:41:00,1,0,0,4,M,B07FWYUYW,Objective Physics for NEET - Vol. 1,Shipped,1,600.0,85.0,Siliguri,West Bengal,734004,Competition ,685.0,Dc Pandey,Arihant Publications,17,102.0,498.0
97,98,2018-01-25,13:08:00,1,0,0,4,F,B07FWYWWZ,"NEET Prep Guide 2019(With free bookletrevision points Physics,Chemistry,Biology)",Shipped,1,899.0,85.0,Dharmapuri,Tamil Nadu,636905,Competition ,984.0,Arihant Expert,Arihant Publications,17,152.83,746.17
98,99,2018-01-25,17:06:00,1,0,0,4,F,B07FWYWYQ,Public Finance,Shipped,1,465.0,85.0,Allahabad,Uttar Pradesh,211001,College,550.0,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
99,100,2018-01-25,19:22:00,1,0,0,4,F,B07FWXVTT,Modern Operating Systems 4e,Shipped,1,690.0,85.0,Bhopal,Madhya Pradesh,462023,College,775.0,Andrew S. Tanenbaum Herbert Bos,Pearson Publications,13,89.7,600.3
100,101,2018-01-25,20:54:00,1,0,1,4,M,B07FWXXQV,ESE 2018 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,450.0,85.0,Mangaluru,Karnataka,575025,Competition ,535.0,Made Easy Editorial Board,Made Easy Publications,17,76.5,373.5
101,102,2018-01-26,08:09:00,1,0,1,5,M,B07FWVYQW,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,Shipped,1,615.0,85.0,Anantapur,Andhra Pradesh,515001,Competition ,700.0,Made Easy Editorial Board,Made Easy Publication,17,104.55,510.45
102,103,2018-01-26,09:09:00,1,0,1,5,F,B07FWXUWZ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,Shipped,1,215.0,85.0,Meerut,Uttar Pradesh,250004,Competition ,300.0, Dc Pandey,Arihant Publications,17,36.55,178.45
103,104,2018-01-26,11:33:00,1,1,1,5,F,B07FWWUUU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,Shipped,1,615.0,85.0,Chatra,Jharkhand,825401,Competition ,700.0,Made Easy Editorial Board,Made Easy Publication,17,104.55,510.45
